OBJECTID,NCESSCH,LEAID,NAME,OPSTFIPS,STREET,CITY,STATE,ZIP,STFIP,CNTY,NMCNTY,LOCALE,LAT,LON,CBSA,NMCBSA,CBSATYPE,CSA,NMCSA,NECTA,NMNECTA,CD,SLDL,SLDU,SCHOOLYEAR,Match-Name,Type,enroll-per,enrollment_fid,enrollment_School,enrollment_Type,enrollment_Cluster,enrollment_Area,enrollment_Enrollment,enrollment_Capacity,enrollment_Map,future_use
24816.0,130174000681.0,1301740.0,Redan Elementary School,13.0,1914 Stone Mountain Lithonia,Lithonia,GA,30058.0,13.0,13089.0,DeKalb County,21.0,33.7454,-84.13559999999998,12060.0,"Atlanta-Sandy Springs-Alpharetta, GA",1.0,122.0,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",N,N,1304.0,13094.0,13055.0,2022-2023,Redan Elementary,Elementary,0.75,106.0,Redan ES,Elementary,Redan,Elementary 3,522.0,696.0,Map,c
24817.0,130174000682.0,1301740.0,Montgomery Elementary School,13.0,3995 Ashford Dunwoody Rd NE,Brookhaven,GA,30319.0,13.0,13089.0,DeKalb County,21.0,33.9097,-84.3323,12060.0,"Atlanta-Sandy Springs-Alpharetta, GA",1.0,122.0,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",N,N,1306.0,13080.0,13040.0,2022-2023,Montgomery Elementary,Elementary,1.207,93.0,Montgomery ES,Elementary,Chamblee,Elementary 1,724.0,600.0,Map,n
24818.0,130174000684.0,1301740.0,Kingsley Elementary School,13.0,2051 Brendon Dr,Dunwoody,GA,30338.0,13.0,13089.0,DeKalb County,21.0,33.9482,-84.2972,12060.0,"Atlanta-Sandy Springs-Alpharetta, GA",1.0,122.0,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",N,N,1306.0,13079.0,13040.0,2022-2023,Kingsley Elementary,Elementary,0.764,73.0,Kingsley ES,Elementary,Dunwoody,Elementary 1,385.0,504.0,Map,c
24819.0,130174000686.0,1301740.0,Towers High School,13.0,3919 Brookcrest Cir,Decatur,GA,30032.0,13.0,13089.0,DeKalb County,21.0,33.7471,-84.23659999999998,12060.0,"Atlanta-Sandy Springs-Alpharetta, GA",1.0,122.0,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",N,N,1304.0,13086.0,13055.0,2022-2023,Towers High School,High,0.6,131.0,Towers HS,High,Towers,Horizon,781.0,1302.0,Map,c
24820.0,130174000687.0,1301740.0,Huntley Hills Elementary School,13.0,2112 Seaman Cir,Chamblee,GA,30341.0,13.0,13089.0,DeKalb County,21.0,33.9116,-84.3028,12060.0,"Atlanta-Sandy Springs-Alpharetta, GA",1.0,122.0,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",N,N,1306.0,13079.0,13040.0,2022-2023,Huntley Hills Elementary,Elementary,1.002,64.0,Huntley Hills ES,Elementary,Chamblee,Elementary 1,505.0,504.0,Map,n
24821.0,130174000688.0,1301740.0,Hawthorne Elementary School,13.0,2535 Caladium Dr NE,Atlanta,GA,30345.0,13.0,13089.0,DeKalb County,21.0,33.8601,-84.2731,12060.0,"Atlanta-Sandy Springs-Alpharetta, GA",1.0,122.0,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",N,N,1306.0,13082.0,13042.0,2022-2023,Hawthorne Elementary,Elementary,0.875,60.0,Hawthorne ES,Elementary,Lakeside,Elementary 1,378.0,432.0,Map,n
24822.0,130174000690.0,1301740.0,Dunwoody High School,13.0,5035 Vermack Rd,Dunwoody,GA,30338.0,13.0,13089.0,DeKalb County,21.0,33.9455,-84.31529999999998,12060.0,"Atlanta-Sandy Springs-Alpharetta, GA",1.0,122.0,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",N,N,1306.0,13079.0,13040.0,2022-2023,Dunwoody High School,High,1.304,44.0,Dunwoody HS,High,Dunwoody,High,2021.0,1550.0,Map,n
24823.0,130174000692.0,1301740.0,Chamblee High School,13.0,3688 Chamblee Dunwoody Rd,Chamblee,GA,30341.0,13.0,13089.0,DeKalb County,21.0,33.8982,-84.30599999999998,12060.0,"Atlanta-Sandy Springs-Alpharetta, GA",1.0,122.0,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",N,N,1306.0,13081.0,13040.0,2022-2023,Chamblee High School,High,1.132,19.0,Chamblee HS,High,Chamblee,High,1930.0,1705.0,Map,n
24824.0,130174000694.0,1301740.0,Avondale Elementary School,13.0,8 Lakeshore Dr,Avondale Estates,GA,30002.0,13.0,13089.0,DeKalb County,21.0,33.773871,-84.261955,12060.0,"Atlanta-Sandy Springs-Alpharetta, GA",1.0,122.0,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",N,N,1304.0,13085.0,13042.0,2022-2023,Avondale Elementary,Elementary,0.915,5.0,Avondale ES,Elementary,Druid Hills,Elementary 2,593.0,648.0,Map,n
24825.0,130174000695.0,1301740.0,Stoneview Elementary School,13.0,2629 Huber St,Lithonia,GA,30058.0,13.0,13089.0,DeKalb County,21.0,33.707538,-84.119629,12060.0,"Atlanta-Sandy Springs-Alpharetta, GA",1.0,122.0,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",N,N,1304.0,13092.0,13043.0,2022-2023,Stoneview Elementary,Elementary,1.051,127.0,Stoneview ES,Elementary,Lithonia,Horizon,757.0,720.0,Map,c
24826.0,130174000696.0,1301740.0,Snapfinger Elementary School,13.0,1365 Snapfinger Rd,Decatur,GA,30032.0,13.0,13089.0,DeKalb County,21.0,33.732,-84.2471,12060.0,"Atlanta-Sandy Springs-Alpharetta, GA",1.0,122.0,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",N,N,1304.0,13085.0,13010.0,2022-2023,Snapfinger Elementary,Elementary,0.48,119.0,Snapfinger ES,Elementary,Columbia,Horizon,415.0,864.0,Map,n
24827.0,130174000698.0,1301740.0,Rowland Elementary School,13.0,1317 S Indian Creek Dr,Stone Mountain,GA,30083.0,13.0,13089.0,DeKalb County,21.0,33.7585,-84.2232,12060.0,"Atlanta-Sandy Springs-Alpharetta, GA",1.0,122.0,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",N,N,1304.0,13086.0,13041.0,2022-2023,Rowland Elementary,Elementary,0.679,112.0,Rowland ES,Elementary,Towers,Elementary 3,375.0,552.0,Map,c
24828.0,130174000699.0,1301740.0,Rainbow Elementary School,13.0,2801 Kelley Chapel Rd,Decatur,GA,30034.0,13.0,13089.0,DeKalb County,21.0,33.7049,-84.2251,12060.0,"Atlanta-Sandy Springs-Alpharetta, GA",1.0,122.0,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",N,N,1304.0,13090.0,13010.0,2022-2023,Rainbow Elementary,Elementary,0.514,105.0,Rainbow ES,Elementary,Southwest DeKalb,Elementary 3,333.0,648.0,Map,n
24829.0,130174000700.0,1301740.0,Laurel Ridge Elementary School,13.0,1215 Balsam Dr,Decatur,GA,30033.0,13.0,13089.0,DeKalb County,21.0,33.8154,-84.27599999999998,12060.0,"Atlanta-Sandy Springs-Alpharetta, GA",1.0,122.0,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",N,N,1304.0,13084.0,13042.0,2022-2023,Laurel Ridge Elementary,Elementary,0.867,77.0,Laurel Ridge ES,Elementary,Druid Hills,Elementary 2,437.0,504.0,Map,n
24830.0,130174000701.0,1301740.0,Oakcliff Elementary School,13.0,3151 Willow Oak Way,Doraville,GA,30340.0,13.0,13089.0,DeKalb County,21.0,33.903,-84.25879999999998,12060.0,"Atlanta-Sandy Springs-Alpharetta, GA",1.0,122.0,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",N,N,1306.0,13081.0,13040.0,2022-2023,Oakcliff Theme Elementary,Elementary,0.924,98.0,Oakcliff Theme,Elementary,Magnet and Theme,Specialty,621.0,672.0,,n
24831.0,130174000702.0,1301740.0,Montclair Elementary School,13.0,1680 Clairmont Pl NE,Brookhaven,GA,30329.0,13.0,13089.0,DeKalb County,21.0,33.8477,-84.31999999999998,12060.0,"Atlanta-Sandy Springs-Alpharetta, GA",1.0,122.0,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",N,N,1305.0,13082.0,13042.0,2022-2023,Montclair Elementary,Elementary,0.904,92.0,Montclair ES,Elementary,Cross Keys,Horizon,586.0,648.0,Map,n
24832.0,130174000703.0,1301740.0,Kelley Lake Elementary School,13.0,2590 Kelly Lake Rd,Decatur,GA,30032.0,13.0,13089.0,DeKalb County,21.0,33.7159,-84.2839,12060.0,"Atlanta-Sandy Springs-Alpharetta, GA",1.0,122.0,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",N,N,1305.0,13083.0,13044.0,2022-2023,Kelley Lake Elementary,Elementary,0.629,72.0,Kelley Lake ES,Elementary,McNair,Elementary 3,302.0,480.0,Map,c
